mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;basis-jaarlijks;beginjaar;bestrijdingsmiddelen;bodemtype (detail);bodemtype (grof);ecokleurenkoers;fysisch-chemisch;gemeente;krw-biologie;landgebruik 2015;meetpuntsoort;naam water;plaatsnaam;publicatie op internet 1;quickscan-vegetatie;type watergang;vistrajecten;vlakdekkende vegetatieopnamen;waterbreedte in m (in het veld geschat);waterbreedte in m (legger);waterdiepte in m (legger);waterlichaamcode;waterlichaamnaam;watertype waterlichaam;zwemwater;long;lat
00033;Kralingse Plas, zuidoostzijde t.h.v. lange brug;95266;438350;SCHIEL;Schieland;1;;M14;;;1988;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Recreatie;Regulier;;Rotterdam;1;;Overige watergang;;;;7;0,8;NL39_08a;Kralingse Plas;M14;;4,51869118706454;51,9304085748573
00033A;Metingen voor WaterNED;95266;438350;SCHIEL;Schieland;4;;M14;;;2013;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Recreatie;Overig;;Rotterdam;;;Overige watergang;;;;7;0,8;NL39_08a;Kralingse Plas;M14;;4,51869118706454;51,9304085748573
00034;BERGSE ACHTERPLAS zuid deel midden thv Adriana St;92566;440563;SCHIEL;Schieland;1;varen botenhelling Ringdijk, sleutel;M27;;1;1987;;Water;OVERIG;Groen;1;Rotterdam;;Plassen;Regulier;;Rotterdam;1;;Overige watergang;;;;13;0,9;NL39_07a;Bergse Plassen;M27;;4,4790366736791;51,9500009475777
00035;Vijver Lage Bergse Bos noordzijde bos Hoekse Hout;95151;443030;SCHIEL;Schieland;3;;M30;;;1988;;Bebouwing;STEDELIJK;Groen;;Lansingerland;;Recreatie;Regulier;;Bergschenhoek;;;Overige watergang;;;;16;1,5;NL39_05a;Lage Bergse Bos;M30;;4,51620377696603;51,9724571002659
00036;RINGVAART ZPP thv 2eMoordrechtse Tiendeweg va brug;106697;446564;SCHIEL;Schieland;1;;M10;;1;1989;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Gouda;;Boezem;Regulier;Ringvaart Zuidplaspolder;Gouda;1;;Boezem;;;15;26,6;2,05;NL39_03a;Ringvaart;M10;;4,68372440383513;52,0053433162013
00037;RINGVAART ZPP va brug Apollolaan Waddinxveen;104756;449533;SCHIEL;Schieland;1;;M10;;;1989;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Waddinxveen;;Boezem;Regulier;Ringvaart Zuidplaspolder;Waddinxveen;1;;Overige watergang;;;;20,6;1,5;;;;;4,65502226418179;52,0318549580697
00038;RINGVAART PPA va brug Bermweg 474 Capelle;100108;439566;SCHIEL;Schieland;1;;M10;;1;1989;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Capelle aan den Ijssel;;Boezem;Regulier;Ringvaart Polder Pr. Alexander;Capelle aan den IJssel;1;;Boezem;;;;17,5;1,5;NL39_03a;Ringvaart;M10;;4,58889116930074;51,9418363747914
00039;Zevenhuizerplas, op 8m diepte van monsterp. 00040;98332;443703;SCHIEL;Schieland;3;;M20;;;1999;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Plassen;Regulier;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;;4,56238185864893;51,9788392555454
00040;ZEVENHUIZERPLAS I midden op plas;98332;443703;SCHIEL;Schieland;1;varen botenhelling Strandweg;M20;;1;1989;;Veen op ongerijpte klei;VEEN;Groen;1;Rotterdam;;Plassen;Regulier;;Rotterdam;1;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;;4,56238185864893;51,9788392555454
00040-1;ZEVENHUIZERPLAS I midden op plas, op 1m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;;4,56238185864893;51,9788392555454
00040-10;ZEVENHUIZERPLAS I midden op plas, op 10m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;;4,56238185864893;51,9788392555454
00040-11;ZEVENHUIZERPLAS I midden op plas, op 11m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;;4,56238185864893;51,9788392555454
00040-12;ZEVENHUIZERPLAS I midden op plas, op 12m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;;4,56238185864893;51,9788392555454
00040-13;ZEVENHUIZERPLAS I midden op plas, op 13m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;;4,56238185864893;51,9788392555454
00040-14;ZEVENHUIZERPLAS I midden op plas, op 14m diepte;98332;443703;SCHIEL;Schieland;2;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Recreatie;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;;4,56238185864893;51,9788392555454
00040-15;ZEVENHUIZERPLAS I midden op plas, op 15m diepte;98332;443703;SCHIEL;Schieland;1;afwijkende diepte;M20;;;2012;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Plassen;Diepteprofiel;;Rotterdam;;;Overige watergang;;;;5;0,8;NL39_04a;Zevenhuizerplas;M20;;4,56238185864893;51,9788392555454
