mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;Basis-jaarlijks;Beginjaar;Bestrijdingsmiddelen;Bodemtype (detail);Bodemtype (grof);Ecokleurenkoers;Fysisch-chemisch;Gemeente;KRW-biologie;Landgebruik 2015;Meetpuntsoort;Naam water;Plaatsnaam;Publicatie op internet 1;Quickscan-vegetatie;Type watergang;Vistrajecten;Vlakdekkende vegetatieopnamen;Waterbreedte in m (in het veld geschat);Waterbreedte in m (legger);Waterdiepte in m (legger);Waterlichaamcode;Waterlichaamnaam;Watertype waterlichaam;Zwemwater
00019;Vijver Bleiswijkse zoom van brug Merenweg Bleiswij;97403;445984;SCHIEL;Schieland;3;;M27;;;1977;;Lichte klei met homogeen profiel;KLEI;Groen;;Lansingerland;;Plassen;Regulier;Rotte;Bleiswijk;;;Overige watergang;;;;125;1;NL39_06a;Bleiswijkse Zoom;M27;
00020;Molenviergang Tweemanspolder vanaf brug bovenmolen;98148;448423;SCHIEL;Schieland;1;;-;;;1977;;Lichte klei met homogeen profiel;KLEI;Geel;1;Zuidplas;;Afvoer/gemaal;Regulier;Derde molengang;Zevenhuizen;;;Boezem;;;;7,1;1,2;;;;
00021;KOORNMOLENGAT ca 30m west van toegang;98144;447091;SCHIEL;Schieland;1;sleutel;M14;;1;1977;;Lichte klei met homogeen profiel;KLEI;Groen;1;Zuidplas;;Recreatie;Regulier;Derde tocht zuid;Zevenhuizen;1;1;Overige watergang;;;;4;0,75;;;;
00022;Hennipsloot, nabij Roerdomp, vanaf brug;98283;446769;SCHIEL;Schieland;1;;M10;;;1977;;Lichte klei met homogeen profiel;KLEI;Groen;1;Zuidplas;;Boezem;Regulier;Hennipsloot;Zevenhuizen;1;;Boezem;;;;8,2;1,3;NL39_03a;Ringvaart;M10;
00023;Zevenhuizerplas, van kade achter Strandweg 11 (Rec;98072;443360;SCHIEL;Schieland;3;;M20;;;1977;;Veen op ongerijpte klei;VEEN;Groen;;Rotterdam;;Plassen;Regulier;;Rotterdam;;;Overige watergang;;;;6;0,8;NL39_04a;Zevenhuizerplas;M20;
00024;RINGVAART ZPP bij gemaal Abr Kroes vo krooshek;104509;443499;SCHIEL;Schieland;1;;M10;;1;1975;;Klei op veen;KLEI;Blauw;1;Zuidplas;;Boezem;Regulier;Ringvaart Zuidplaspolder;Moordrecht;1;;Boezem;;;;26,1;1,58;NL39_03a;Ringvaart;M10;
00025;ROTTE thv Boterdorps Verlaat voor sluis va brug;94587;440736;SCHIEL;Schieland;1;;M03;;1;1978;;Bebouwing;STEDELIJK;Blauw;1;Rotterdam;;Boezem;Regulier;;Rotterdam;1;;Boezem;;;;7;0,8;NL39_01a;Rotteboezem;M3;
00026;Noorderkanaal, oost van Bergsluis vanaf kade;91595;439349;SCHIEL;Schieland;3;;M03;;;1978;;Water;OVERIG;Groen;;Rotterdam;;Boezem;Regulier;Noorderkanaal;Rotterdam;;;Boezem;;;;26;1;NL39_01a;Rotteboezem;M3;
00027;VIijver Lage Bergse Bos bij afsluiter noordzijde b;94845;442915;SCHIEL;Schieland;1;;M30;;;1979;;Veen op ongerijpte klei;VEEN;Groen;1;Lansingerland;;Recreatie;Regulier;;Bergschenhoek;;;Overige watergang;;;;8;0,9;NL39_05a;Lage Bergse Bos;M30;
00028;Snelle Sluis Moordrecht buiten sluiskom ringvaartz;104679;443549;SCHIEL;Schieland;1;;-;;;1985;;Klei op veen;KLEI;;1;Zuidplas;;Gras;Regulier;;Moordrecht;;;Overige watergang;;;;4;0,8;;;;
00029;NOORDERKANAAL W v brug Straatweg steiger roeiver;92207;439492;SCHIEL;Schieland;1;;M03;;;1988;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Boezem;Regulier;Noorderkanaal;Rotterdam;1;;Boezem;;;;26;1;NL39_01a;Rotteboezem;M3;
00030;BERGSE VOORPLAS Noordelijk deel oost van eiland;93900;440919;SCHIEL;Schieland;1;varen botenhelling Ringdijk, sleutel;M27;;1;1988;;Water;OVERIG;Groen;1;Rotterdam;;Plassen;Regulier;;Rotterdam;1;;Overige watergang;;;;7;0,8;NL39_07a;Bergse Plassen;M27;
00031;BERGSE ACHTERPLAS noordelijk deel thv Plaswijck;93247;441079;SCHIEL;Schieland;1;varen botenhelling Ringdijk, sleutel;M27;;;1987;;Water;OVERIG;Groen;1;Rotterdam;;Plassen;Regulier;;Rotterdam;1;;Overige watergang;;;;5;0,9;NL39_07a;Bergse Plassen;M27;
00032;Ringvaart ZPP, eind 2de Tochtweg;103702;443195;SCHIEL;Schieland;3;;M10;;;1976;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Zuidplas;;Boezem;Regulier;Ringvaart Zuidplaspolder;Nieuwerkerk aan den IJssel;;;Boezem;;;;28,2;1,91;NL39_03a;Ringvaart;M10;
00033;Kralingse Plas, zuidoostzijde t.h.v. lange brug;95266;438350;SCHIEL;Schieland;1;;M14;;;1988;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Recreatie;Regulier;;Rotterdam;1;;Overige watergang;;;;7;0,8;NL39_08a;Kralingse Plas;M14;
00033A;Metingen voor WaterNED;95266;438350;SCHIEL;Schieland;4;;M14;;;2013;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Recreatie;Overig;;Rotterdam;;;Overige watergang;;;;7;0,8;NL39_08a;Kralingse Plas;M14;
