mp;mpomsch;X;Y;gebied;gebiednaam;meetnet;opmerking;krw_type;<>;Basis-jaarlijks;Beginjaar;Bestrijdingsmiddelen;Bodemtype (detail);Bodemtype (grof);Ecokleurenkoers;Fysisch-chemisch;Gemeente;KRW-biologie;Landgebruik 2015;Meetpuntsoort;Naam water;Plaatsnaam;Publicatie op internet 1;Quickscan-vegetatie;Type watergang;Vistrajecten;Vlakdekkende vegetatieopnamen;Waterbreedte in m (in het veld geschat);Waterbreedte in m (legger);Waterdiepte in m (legger);Waterlichaamcode;Waterlichaamnaam;Watertype waterlichaam;Zwemwater
00710;WATERGANG Rozenplantsoen Moordrecht va vlonder;105964;444814;SCHIEL;Schieland;1;;-;;;2006;;Bebouwing;STEDELIJK;Groen;1;Zuidplas;;Stedelijk;Regulier;Ringvaart Zuidplaspolder;Moordrecht;1;;Overige watergang;;;;23;1,94;;;;
00711;SLOOT t Weegje N Wilhelminakade to 88 2e sloot;105900;448029;SCHIEL;Schieland;1;sloot door het land;-;;;2009;;Zanddek op veen op zand;VEEN;Groen;1;Waddinxveen;;Gras;Regulier;;Waddinxveen;1;;Overige watergang;;;;8;0,8;NL39_10a;t Weegje;M27;
00801;GEMAAL P D KLEY BERMWEG NadIJ voor krooshek PPA;100999;440438;SCHIEL;Schieland;1;sleutel;M03;;1;1975;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Zuidplas;;Afvoer/gemaal;Regulier;;Nieuwerkerk aan den IJssel;1;;Overige watergang;;;;8;1;NL39_17a;Polder Prins Alexander;M3;
00802;Gemaal J.A. Beijerinklaan Bermweg 15 Capelle voor;98483;438227;SCHIEL;Schieland;3;;-;;;1975;;Veraarde bovengrond op diep veen;VEEN;Groen;;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Boezem;;;;10;0,6;;;;
00803;Kralingsetocht zuidzijde Kralingseweg voor duiker;98237;438446;SCHIEL;Schieland;3;;-;;;1975;;Veraarde bovengrond op diep veen;VEEN;Geel;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;5;0,6;;;;
00804;SCHOLLEVAARTSE TOCHT NadIJ va brug Hoofdweg;100077;441808;SCHIEL;Schieland;1;;-;;;1975;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Zuidplas;;Stedelijk;Regulier;;Nieuwerkerk aan den IJssel;1;;Hoofdwatergang;;;;8;1;;;;
00805;Oude Stoopweg Rotterdam tussen A20/spoor vanaf 1e;95287;440273;SCHIEL;Schieland;3;;-;;;1977;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;6;0,8;;;;
00806;WATERGANG KONINGSLAAN RDAM bij duiker Hoofdweg;97001;440151;SCHIEL;Schieland;1;;-;;;1977;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Overige watergang;;;;6;0,8;;;;
00807;SINGEL PR ALEXANDERLN N-W van A20 voor duiker;97434;440961;SCHIEL;Schieland;1;;-;;;1977;;Bebouwing;STEDELIJK;Geel;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;9;1;;;;
00808;Lage Bemaling Alexanderlaan voor bemaling Leningra;97978;439434;SCHIEL;Schieland;3;;-;;;1977;;Veraarde bovengrond op diep veen;VEEN;Geel;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Hoofdwatergang;;;;11;1;;;;
00809;Scheisloot onderweg Nieuwerkerk, 3e sloot vanaf nr;100696;443064;SCHIEL;Schieland;3;;-;;;1983;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Rotterdam;;Stedelijk;Regulier;Ringvaart Zuidplaspolder;Rotterdam;;;Overige watergang;;;;11;1,49;;;;
00810;SINGEL Operalaan Schollevaar Vlinderbaan v brug;100097;440724;SCHIEL;Schieland;1;;-;;;1990;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Overige watergang;;;;6;0,6;;;;
00811;SINGEL BURG VOGELAARSGL NadIJ va brug Donizettipad;101347;442140;SCHIEL;Schieland;1;;-;;;1990;;Bebouwing;STEDELIJK;Geel;1;Zuidplas;;Stedelijk;Regulier;;Nieuwerkerk aan den IJssel;1;;Hoofdwatergang;;;;7;0,6;;;;
00812;RINGVAARTPLAS thv Govert Terlouwstr va steiger;97447;437896;SCHIEL;Schieland;1;;M14;;;1991;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Rotterdam;;Plassen;Regulier;;Rotterdam;1;1;Hoofdwatergang;;;65;8;0,6;;;;
00813;Ringvaartplas Rotterdam, oostelijk deel vanaf brug;97980;438029;SCHIEL;Schieland;3;;-;;;1991;;Veraarde bovengrond op diep veen;VEEN;Groen;;Rotterdam;;Plassen;Regulier;Ringvaart Polder Pr. Alexander;Rotterdam;;;Overige watergang;;;;14,3;1,5;;;;
00814;Sloot Pietje Bell, park Prinsenland via Beelstraat;97469;438619;SCHIEL;Schieland;3;;-;;;1996;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;9;0,6;;;;
00816;Singel langs Nehrusingel bij Ataturkstraat;97974;438641;SCHIEL;Schieland;3;;-;;;1996;;Veraarde bovengrond op diep veen;VEEN;Groen;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;9;0,6;;;;
00817;Nancy Zeelenbergsingel, noord van Kralingseweg;97074;438194;SCHIEL;Schieland;3;;-;;;1996;;Veraarde bovengrond op diep veen;VEEN;Geel;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;9;0,8;;;;
00818;Nancy Zeelenbergsingel bij H. Moquettestraat;96877;438983;SCHIEL;Schieland;3;;-;;;1996;;Bebouwing;STEDELIJK;Geel;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;9;0,8;;;;
00819;SINGEL PRES WILSONWEG bij Currieplaats va brug;96646;441969;SCHIEL;Schieland;1;;M03;;;2002;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;1;Hoofdwatergang;;;20;15,3;0,6;;;;
00820;WATERGANG PIET vd POLSGL va brug Dirk v Prooijesgl;94926;440569;SCHIEL;Schieland;1;;-;;;2003;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Overige watergang;;;;5;0,6;;;;
00821;GROTE VIJVER Schollebos thv 2e inham via fietspad;99451;440022;SCHIEL;Schieland;1;;-;;;2003;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;11;1;;;;
00822;WATERGANG Rozensingel langs Bermweg Capelle;99012;438737;SCHIEL;Schieland;1;;-;;;2003;;Bebouwing;STEDELIJK;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;4;0,6;;;;
00824;WATERGANG CAPELSEWEG Z-O van A 20 bij oprit;98398;441037;SCHIEL;Schieland;1;;-;;;2003;;Bebouwing;STEDELIJK;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;19;0,6;;;;
00825;Watergang Floris Burgwal, vanaf brug Halewijn;99422;440490;SCHIEL;Schieland;3;;-;;;2003;;Veen op ongerijpte klei;VEEN;Geel;;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Overige watergang;;;;7;0,6;;;;
00826;Watergang Zwaarddans, brug voor duiker Vrijheidsda;98681;440649;SCHIEL;Schieland;3;;-;;;2003;;Veraarde bovengrond op diep veen;VEEN;Geel;;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Hoofdwatergang;;;;7;0,6;;;;
00827;Nieuwerkerkse Tocht via Rigoletto achter 113 va br;99955;440088;SCHIEL;Schieland;1;;M03;;;2008;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Capelle aan den Ijssel;;Recreatie;Regulier;;Capelle aan den IJssel;1;;Overige watergang;;;;17;1,3;NL39_17a;Polder Prins Alexander;M3;
00828;GEMAAL OMMOORD vo krooshek via Varenpad/Rottekade;95768;442038;SCHIEL;Schieland;1;sleutel;-;;1;2008;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;20;1;;;;
00829;WATERGANG Prinsenlaan oost v viaduct A16 vo duiker;96490;439082;SCHIEL;Schieland;1;voor duiker;-;;;2008;;Bebouwing;STEDELIJK;Blauw;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Overige watergang;;;;7;0,8;;;;
00830;WATERGANG Prinsenpark va brug via Michelangelostr;97471;438842;SCHIEL;Schieland;1;;-;;;2008;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Overige watergang;;;;9;0,6;;;;
00851;TOEVOERSLOOT WFOPPENWEG/S Bontebalpd vo overstort;97905;442552;SCHIEL;Schieland;1;;-;;;2003;;Bebouwing;STEDELIJK;Blauw;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;3;0,5;;;;
00852;Hoofdweg tocht bij Ichtusklin. pad ten w. van klin;99630;441867;SCHIEL;Schieland;1;;-;;;;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Hoofdwatergang;;;;8;1;;;;
00853;Singel Capelseweg/Rijksweg A20, nw van kruising;98240;441255;SCHIEL;Schieland;1;;-;;;;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Hoofdwatergang;;;;8;0,6;;;;
00855;Noordelijke kavelsl. bourgignon van parallelweg no;0;0;SCHIEL;Schieland;1;;-;;;;;;;;1;;;;Regulier;;;;;Overige watergang;;;;13;0,8;;;;
00856;Sloot Schollevaartseweg zuid van begraafplaats Sch;100078;441281;SCHIEL;Schieland;1;;-;;;;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Overige watergang;;;;8;0,6;;;;
00857;Nieuwerkerkse Tocht, Schollevaartseweg vanaf brug;100609;440480;SCHIEL;Schieland;1;;-;;;;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Hoofdwatergang;;;;17;1,3;;;;
00858;Middeltocht Rotterdam van brug Hoofdweg bij Ooster;97910;440499;SCHIEL;Schieland;1;;-;;;;;Veen op ongerijpte klei;VEEN;Geel;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;8;0,6;;;;
00859;LAGE BEMALING ALEXANDERLN va brug Sjanghailaan;97978;439434;SCHIEL;Schieland;1;;M10;;;2003;;Veraarde bovengrond op diep veen;VEEN;Geel;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;13;11;1;;;;
00860;Sloot n van spoor Capelseweg bij fietspad Capelsew;98441;440843;SCHIEL;Schieland;1;;-;;;;;Bebouwing;STEDELIJK;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Overige watergang;;;;19;0,6;;;;
00861;WATERGANG Lauwersmeer va brug to Grote Wielen;99163;442368;SCHIEL;Schieland;1;;-;;;2006;;Veraarde bovengrond op diep veen;VEEN;Geel;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Overige watergang;;;;14;0,6;;;;
00862;WATERGANG Istanboeldreef Rdam to 20 bij Toulondr;98402;439998;SCHIEL;Schieland;1;;-;;;2006;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;7;0,8;;;;
00863;Dreessingen Rotterdam, va brug to Schermerhornstr.;97883;438822;SCHIEL;Schieland;1;;-;;;2006;;Veraarde bovengrond op diep veen;VEEN;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Hoofdwatergang;;;;9;0,6;;;;
00901;Gemaal Esse, Gans en Blaardorp, voor krooshek;103640;440852;SCHIEL;Schieland;3;;M08;;;1975;;Bebouwing;STEDELIJK;Groen;;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Overige watergang;;;;3;0,5;NL39_11a;Sloten waterrijk EGB;M8;
00902;De Mient/s-Gravenweg Nieuwerkerk vanaf brug voor;102028;440884;SCHIEL;Schieland;1;;M08;;;1975;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Hoofdwatergang;;;;3;0,6;NL39_11a;Sloten waterrijk EGB;M8;
00903;Molenwetering Hitlandselaan van brug bij parkeerpl;103233;441474;SCHIEL;Schieland;3;;M08;;;1975;;Klei op veen;KLEI;Geel;;Zuidplas;;Recreatie;Regulier;;Nieuwerkerk aan den IJssel;;;Overige watergang;;;;8;1;NL39_11a;Sloten waterrijk EGB;M8;
00904;2e Scheisloot zuid van Hitlandselaan, Hitland;0;0;SCHIEL;Schieland;1;;-;;;1983;;;;;1;;;;Regulier;;;;;Overige watergang;;;;13;0,8;;;;
00905;Sloot s-Gravenweg Nieuwerkerk noord van weg, oost;101731;440598;SCHIEL;Schieland;3;;-;;;1987;;Veraarde bovengrond op diep veen;VEEN;Blauw;;Zuidplas;;Stedelijk;Regulier;;Nieuwerkerk aan den IJssel;;;Overige watergang;;;;5;0,8;;;;
00906;Sloot s-Gravenweg zuidzijde 2e sloot west van num;101749;440524;SCHIEL;Schieland;3;;M08;;;1987;;Veraarde bovengrond op diep veen;VEEN;Geel;;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Hoofdwatergang;;;;5;0,8;NL39_11a;Sloten waterrijk EGB;M8;
00907;Molenwetering Nieuwerkerk via s-Gravenweg zuidoos;102664;440373;SCHIEL;Schieland;1;;M08;;;1989;;Kleidek op veen;VEEN;Geel;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Hoofdwatergang;;;;17;1,3;NL39_11a;Sloten waterrijk EGB;M8;
00908;GEMAAL HITLAND bij Groenedijk vo krooshek;102205;438884;SCHIEL;Schieland;1;sleutel;-;;1;1989;;Bebouwing;STEDELIJK;Blauw;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;1;;Hoofdwatergang;;;;8;1,3;;;;
00909;Singel Hitland bij 2e brug vanaf gemaal Hitland;101892;439215;SCHIEL;Schieland;1;;M08;;;1993;;Kleidek op veen;VEEN;Geel;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Hoofdwatergang;;;;8;1,3;NL39_11a;Sloten waterrijk EGB;M8;
00910;DERDE WATERGANG De Mient/Molenwetering ZO v pad;102784;440378;SCHIEL;Schieland;1;;M08;;;2008;;Kleidek op veen;VEEN;Blauw;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;1;;Overige watergang;;;;7;0,8;NL39_11a;Sloten waterrijk EGB;M8;
00911;SLOOT Hitlandselaan inrit volkstuinen sloot N;102926;441696;SCHIEL;Schieland;1;sloot noord van de tuinen;M08;;;2009;;Klei op veen;KLEI;Groen;1;Zuidplas;;Recreatie;Regulier;;Nieuwerkerk aan den IJssel;1;;Overige watergang;;;5;9;1;NL39_11a;Sloten waterrijk EGB;M8;
00912;HFDWATERGANG BLAARDORPSEWEG via pad va brug;101553;439867;SCHIEL;Schieland;1;;M08;;;2010;;Kleidek op veen;VEEN;Groen;1;Zuidplas;;Recreatie;Regulier;;Nieuwerkerk aan den IJssel;1;;Hoofdwatergang;;;20;13;1;NL39_11a;Sloten waterrijk EGB;M8;
00913;Nieuw Polder EGB tussen groenendijk 277 en 279;102902;439251;SCHIEL;Schieland;1;;-;;;2012;;Klei op veen;KLEI;Blauw;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Overige watergang;;;;3;0,5;;;;
00914;Nieuw Polder EGB tussen s gravenweg 63 en 65;102440;441253;SCHIEL;Schieland;1;;M08;;;2012;;Kleidek op veen;VEEN;Groen;1;Zuidplas;;Gras;Regulier;;Nieuwerkerk aan den IJssel;;;Overige watergang;;;;3;0,6;NL39_11a;Sloten waterrijk EGB;M8;
01001;GEMAAL OOSTGAARDE Zuiderbreedte vo krooshek;102077;438653;SCHIEL;Schieland;1;sleutel;-;;1;1977;;Bebouwing;STEDELIJK;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Overige watergang;;;;15;0,9;;;;
01002;GEMAAL MIDDELWATERING Dorpsstraat vo krooshek;99925;437400;SCHIEL;Schieland;1;sleutel;-;;1;1977;;Bebouwing;STEDELIJK;Blauw;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;8;0,8;;;;
01003;SINGEL JACOB v RUYSDAELSGN va brug Reigerlaan;99795;437931;SCHIEL;Schieland;1;;M10;;;1977;;Bebouwing;STEDELIJK;Blauw;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;1;Hoofdwatergang;;;8;8;0,9;;;;
01004;Algeraweg voor duiker Algeraweg via fietspad;98830;437161;SCHIEL;Schieland;3;;-;;;1977;;Klei op veen;KLEI;Groen;;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Hoofdwatergang;;;;9;0,9;;;;
01005;Singel Hollandsdiep bij Atolpad achter Terp van af;101126;439065;SCHIEL;Schieland;3;;-;;;1977;;Bebouwing;STEDELIJK;Geel;;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Hoofdwatergang;;;;15;0,9;;;;
01006;DWARSSLOOT s-Gravenweg Capelle to nr 255;99950;438955;SCHIEL;Schieland;1;ten oosten van de witte hekken;-;;;2009;;Bebouwing;STEDELIJK;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Overige watergang;;;;3;0,9;;;;
01007;SINGEL achter Verdistraat va duiker v Beethovenln;97875;436590;SCHIEL;Schieland;1;;M03;;;1992;;Klei op veen;KLEI;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;1;Hoofdwatergang;;;9;11;0,9;;;;
01008;GEMAAL AQUARIVIA RiviumOostlaan vo krooshek;97241;435942;SCHIEL;Schieland;1;sleutel;-;;1;1997;;Bebouwing;STEDELIJK;Blauw;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Overige watergang;;;;11;0,9;;;;
01009;WATERGANG AvRIJCKEVORSELWEG inham bij Wiekslag;100200;438973;SCHIEL;Schieland;1;;-;;;2003;;Bebouwing;STEDELIJK;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;10;0,9;;;;
01010;SINGEL FASCINATIO to rotonde kunstwerk Solislaan;97161;436822;SCHIEL;Schieland;1;;-;;;2003;;Bebouwing;STEDELIJK;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Overige watergang;;;;13;1;;;;
01011;SINGEL KEERKRING via Atolpad bij viaduct;101307;438777;SCHIEL;Schieland;1;;-;;;2003;;Bebouwing;STEDELIJK;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;15;0,9;;;;
01012;WATERGANG BACHSTRAAT va brug bij 189 s-Gravenland;98503;437401;SCHIEL;Schieland;1;;-;;;2003;;Kleidek op veen;VEEN;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;10;0,9;;;;
01013;Watergang Kr. Kerklaan, toevoer gemaal Fascinatio;0;0;SCHIEL;Schieland;1;;-;;;;;;;;1;;;;Regulier;;;;;Overige watergang;;;;13;0,8;;;;
01014;GEMAAL FASCINATIO uitstroomhoofd Fascinatioblv W;96626;437055;SCHIEL;Schieland;1;;-;;;2005;;Bebouwing;STEDELIJK;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;13;1;;;;
01015;Watergang de Fallastraat, toevoer Helofytenfilter,;99057;436769;SCHIEL;Schieland;1;;-;;;2004;;Klei op veen;KLEI;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Hoofdwatergang;;;;9;0,9;;;;
01016;WATERGANG BELTMOLEN ZW bij 16 va bruggetje;98432;439006;SCHIEL;Schieland;1;;-;;;2005;;Veraarde bovengrond op diep veen;VEEN;;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;1;;Hoofdwatergang;;;;8;0,6;;;;
01017;SINGEL Alkenlaan Capelle va brug bij Reigerln;100568;438350;SCHIEL;Schieland;1;;-;;;2006;;Bebouwing;STEDELIJK;Geel;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Hoofdwatergang;;;;10;0,9;;;;
01018;Watergang Algeraweg, afvoer Helofytenfilter;99160;436710;SCHIEL;Schieland;1;;-;;;;;Bebouwing;STEDELIJK;Blauw;1;Capelle aan den Ijssel;;;Regulier;;Capelle aan den IJssel;;;Overige watergang;;;;9;0,9;;;;
01019;Oostgaarde west vanaf brug;100581;438991;SCHIEL;Schieland;1;;-;;;2011;;Bebouwing;STEDELIJK;Groen;1;Capelle aan den Ijssel;;Stedelijk;Regulier;;Capelle aan den IJssel;;;Hoofdwatergang;;;;15;0,9;;;;
01101;Parklaan Rotterdam, vanaf brug bij nr.15 (RWS);92269;435919;SCHIEL;Schieland;3;;-;;;1977;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;10;0,8;;;;
01102;Singel Melkkoppad, west van museumtuin Boymans;92073;436486;SCHIEL;Schieland;3;;-;;;1977;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;10;0,8;;;;
01103;WESTERSINGEL thv Kortenaerstraat va voetbrug;92306;436493;SCHIEL;Schieland;1;;-;;1;1977;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;10;0,8;;;;
01104;Essenburgsingel oost van Diergaardetunnel bij spoo;90934;437531;SCHIEL;Schieland;3;;-;;;1977;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Overige watergang;;;;13;0,8;;;;
01105;Gemaal Stadhoudersweg west van spoorviaduct voor k;90406;438191;SCHIEL;Schieland;1;;-;;;1977;;Bebouwing;STEDELIJK;Blauw;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Hoofdwatergang;;;;4;0,6;;;;
01106;GEMAAL STATENSINGEL bij Statenweg va brug;91167;438245;SCHIEL;Schieland;1;;M03;;;1977;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;1;Hoofdwatergang;;;10;10;0,8;;;;
01107;GEMAAL RINGDIJK hoek Wilgenlei vo krooshek;92370;440950;SCHIEL;Schieland;1;sleutel;-;;1;1977;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;10;0,9;;;;
01108;SINGEL ARGONAUTENWEG to Fortunastr thv gemaal;93231;441682;SCHIEL;Schieland;1;;-;;;1977;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;8;0,9;;;;
01109;SINGEL Burg F H v Kempensgl v brug Borchsateln;94168;441487;SCHIEL;Schieland;1;;-;;;1977;;Bebouwing;STEDELIJK;Geel;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;9;0,9;;;;
01110;GEMAAL GROENE WETERING vo krooshek LvWoudestein;95571;437210;SCHIEL;Schieland;1;;M01A;;;1977;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;1;Hoofdwatergang;;;7;7;0,8;;;;
01111;Singel Kerkhoflaan bij begraafplaats Crooswijk 50m;93520;439239;SCHIEL;Schieland;3;;-;;;1977;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Stedelijk;Regulier;Toevoerkanaal;Rotterdam;;;Overige watergang;;;;25;2,65;;;;
01112;SINGEL NOORDSINGEL v brug thv Zomerhofstraat;92610;438330;SCHIEL;Schieland;1;;M03;;;1977;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;15;14;0,8;;;;
01113;SINGEL Boezemsgl bij drijfvuilhuisje Boezemstr;93746;438295;SCHIEL;Schieland;1;;-;;;2001;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;12;0,8;;;;
01114;Singel Klalingse Bos, bij kruising Bosdreef en Bos;95643;440018;SCHIEL;Schieland;3;;M14;;;1991;;Bebouwing;STEDELIJK;Groen;;Rotterdam;;Recreatie;Regulier;;Rotterdam;;;Overige watergang;;;;9;0,8;NL39_08a;Kralingse Plas;M14;
01115;SINGEL PARK EUROMAST eind Parklaan brug Parkzicht;91942;435709;SCHIEL;Schieland;1;;M03;;;1991;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;1;Overige watergang;;;14;10;0,8;;;;
01116;SINGEL HEEMRAADSSINGEL va brug thv nr 70;90897;437192;SCHIEL;Schieland;1;;-;;1;1989;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;13;0,8;;;;
01117;Singel Wilgenlei, t.h.v. nr.83;92140;441173;SCHIEL;Schieland;1;;-;;;1994;;Bebouwing;STEDELIJK;Blauw;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;;;Hoofdwatergang;;;;8;0,9;;;;
01118;DUIKERTOCHT ZW-zijde LBBOS va brug Sweelincklaan;94067;442711;SCHIEL;Schieland;1;;-;;;1989;;Veraarde bovengrond op diep veen;VEEN;Blauw;1;Lansingerland;;Stedelijk;Regulier;;Bergschenhoek;1;;Hoofdwatergang;;;;9;0,9;;;;
01119;GEMAAL VROESENPARK via Blijdorpln vo krooshek;90693;438635;SCHIEL;Schieland;1;;-;;;1989;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Hoofdwatergang;;;;12;0,8;;;;
01120;ZWARTE PLASJE Oude Raadhuisln Hberg va steiger;93464;441557;SCHIEL;Schieland;1;sleutel;-;;;1991;;Bebouwing;STEDELIJK;Groen;1;Rotterdam;;Stedelijk;Regulier;;Rotterdam;1;;Overige watergang;;;;5;0,9;;;;1
